Title,Link,Maddy Rating,Hunter Rating,Date Cooked,Notes,,
Refried Beans,https://www.101cookbooks.com/refried-beans/,5,,,,,
Pasta With Cicheria and Mushrooms,https://www.ranchogordo.com/blogs/recipes/pasta-with-cicerchia-and-mushrooms,,,,,,
White bean cauliflower lemon piccata,https://www.ranchogordo.com/blogs/recipes/marcella-beans-and-cauliflower-in-a-lemon-caper-sauce,,,,,,
Minestrone soup with giant white beans and squash,https://cooking.nytimes.com/recipes/1017113-minestrone-with-giant-white-beans-and-winter-squash,,,,,,
Marcella Beans and Cauliflower,https://www.ranchogordo.com/blogs/recipes/marcella-beans-and-cauliflower-in-a-lemon-caper-sauce,,,,,,
tofu makhani,https://cooking.nytimes.com/recipes/1020094-tofu-makhani-indian-butter-tofu?action=click&module=Collection%20Page%20Recipe%20Card&region=%20Main-Event%20Tofu&pgType=collection&rank=5,4,,,,,
tartine's gougeres,http://yummysupper.blogspot.com/2010/08/tartines-gougeres.html,,,,,,
Heirloom Bean and Mushroom Cassarole,https://www.101cookbooks.com/rancho-gordo-heirloom-bean-and-mushroom-carnitas-casserole/,,,,,,
Easy Kitchari,https://minimalistbaker.com/easy-kitchari-instant-pot-friendly/#wprm-recipe-container-77903,,,,,,
green curry tofu,https://cooking.nytimes.com/recipes/1023248-green-curry-glazed-tofu?action=click&module=Collection%20Page%20Recipe%20Card&region=Easy%2030-Minute%20Vegetarian%20Recipes&pgType=collection&rank=32,,,,,,
Fried Cheese and Chickpeas in Spicy Tomato Gravy,https://cooking.nytimes.com/recipes/1024010-fried-cheese-and-chickpeas-in-spicy-tomato-gravy?action=click&module=Collection%20Band%20Recipe%20Card&region=Easy%2030-Minute%20Vegetarian%20Recipes&pgType=supercollection&rank=3,5,,,,,
